Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
PANORAMA 1101*,22/10/20 03:12,"2020-10-22
18:52:00","ANDERSON,
COTTONWOOD","Partially
Outside
HFTD,
Tier 2",1117,1072,39,119,6
PANORAMA 1102*,22/10/20 03:42,"2020-10-22
17:55:00",ANDERSON,"Partially
Outside
HFTD,
Tier 2",66,59,4,6,3
PARADISE 1103*,22/10/20 04:45,"2020-10-22
16:59:00",PARADISE,"Partially
Outside
HFTD,
Tier 3",249,237,12,24,0
PARADISE 1104,22/10/20 04:45,"2020-10-22
17:02:00",PARADISE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1907,1706,199,138,2
PARADISE 1105,22/10/20 05:11,"2020-10-22
17:15:00","MAGALIA,
PARADISE","Partially
Outside
HFTD,
Tier 3",1410,1178,231,101,1
PARADISE 1106,22/10/20 05:14,"2020-10-22
16:32:00",PARADISE,"Partially
Outside
HFTD,
Tier 3",434,377,57,22,0
PIT NO 3 2101*,21/10/20 21:04,"2020-10-23
10:21:00",BIG BEND,Tier 2,25,20,5,0,0
PIT NO 5 1101*,21/10/20 21:04,"2020-10-23
10:25:00",BIG BEND,Tier 2,98,71,25,5,2
PIT NO 7 1101,21/10/20 17:33,"2020-10-23
10:33:00","MONTGOMERY
CREEK, ROUND
MOUNTAIN",Tier 2,2,1,1,0,0
STILLWATER 1101,22/10/20 02:49,"2020-10-23
15:56:00",REDDING,"Partially
Outside
HFTD,
Tier 2",700,596,98,57,6
STILLWATER 1102,22/10/20 02:52,"2020-10-22
19:03:00",REDDING,"Partially
Outside
HFTD,
Tier 2",1367,1317,50,110,0
WYANDOTTE 1103*,22/10/20 04:45,"2020-10-23
13:45:00",OROVILLE,Tier 3,23,20,3,1,0
WYANDOTTE 1105,22/10/20 05:08,"2020-10-23
10:42:00",OROVILLE,"Partially
Outside
HFTD",1,1,0,1,0
