Impacted Circuit,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
CAMP EVERS 2106,"4,676",4270,394,263,12
CARLOTTA 1121,"1,076",941,105,43,30
CASTRO VALLEY 1106,"2,089",2009,77,80,3
CASTRO VALLEY 1108,"2,286",2162,117,66,7
CASTRO VALLEY 1111,"2,497",2407,90,64,0
CEDAR CREEK 1101,733,650,78,41,5
CHALLENGE 1101,672,578,94,12,0
CLARK ROAD 1101,15,0,15,0,0
CLARK ROAD 1102             1,"1,055",912,121,64,22
CLARKSVILLE 2104,"4,468",4267,199,208,2
CLARKSVILLE 2109,"2,991",2896,94,129,1
CLEAR LAKE 1101,"2,315",1738,358,92,219
CLEAR LAKE 1102,"1,727",1163,529,68,35
CLOVERDALE 1102,"2,543",2175,277,92,91
COLUMBIA HILL 1101,"1,121",982,126,38,13
CORNING 1101,884,798,73,83,13
CORNING 1102,293,230,53,12,10
CORONA 1103,"2,969",2684,279,87,6
CORTINA 1101,311,100,68,5,143
COTTONWOOD 1101,887,824,45,52,18
COTTONWOOD 1102,"1,003",934,54,76,15
COTTONWOOD 1103,"2,473",2295,137,174,41
CURTIS 1701,"1,795",1207,580,88,8
CURTIS 1702,"3,897",3471,413,279,13
CURTIS 1703,"3,761",3203,532,157,26
CURTIS 1704,"2,551",2245,292,191,14
CURTIS 1705,"2,750",2296,448,197,6
DAIRYVILLE 1101,671,500,91,31,80
DEL MAR 2109,"1,534",1414,118,63,2
DESCHUTES 1101,"1,160",1071,69,61,20
DESCHUTES 1104,"2,360",2080,254,128,26
DIAMOND SPRINGS 1103,"1,464",1277,186,76,1
DIAMOND SPRINGS 1104,583,525,58,43,0
DIAMOND SPRINGS 1105,"2,460",2159,297,139,4
DIAMOND SPRINGS 1106,"2,334",2237,95,138,2
DIAMOND SPRINGS 1107,"1,294",1230,64,64,0
DOBBINS 1101,846,730,100,47,16
DRUM 1101,191,144,41,1,6
DUNBAR 1101,"3,205",2894,253,142,58
DUNBAR 1102,"2,387",2135,210,66,42
DUNBAR 1103,"2,340",2089,199,52,52
DUNNIGAN 1101,31,14,9,1,8
EAST MARYSVILLE 1108,977,799,114,54,64
EDES 1112,"2,851",2731,105,112,15
EEL RIVER 1103,"1,413",1036,255,43,122
EL DORADO P H 2101,"4,543",4276,258,200,9
EL DORADO P H 2102,"1,592",1455,136,72,1
ELECTRA 1101,"1,879",1707,161,102,11
ELECTRA 1102,642,464,172,25,6
ELK CREEK 1101,525,430,75,23,20
FAIRHAVEN 1103,483,359,122,14,2
FAIRHAVEN 1104,91,73,16,1,2
FELTON 0401,46,38,8,2,0
FITCH MOUNTAIN 1113,"2,314",1792,319,50,203
FLINT 1101,"2,057",1829,226,74,2
FORESTHILL 1101,"2,213",2063,149,141,1
FORESTHILL 1102,420,398,22,13,0
FORT SEWARD 1121,213,174,36,6,3
FORT SEWARD 1122,91,73,16,1,2
FRANKLIN 1102,2,0,2,0,0
FREMONT 1104,23,21,0,0,2
FRENCH GULCH 1101,229,197,32,11,0
FRENCH GULCH 1102,35,9,25,0,1
FROGTOWN 1701,"1,914",1558,326,90,30
FROGTOWN 1702,"4,009",3198,760,206,51
FRUITLAND 1141,354,258,74,6,22
FRUITLAND 1142,645,549,93,13,3
FULTON 1102,942,604,275,12,63
FULTON 1107,843,557,280,27,6
GARBERVILLE 1101,"1,188",900,216,21,72
GARBERVILLE 1102,"1,704",1301,366,23,37
GARBERVILLE 1103,458,284,172,5,2
GEARY 0401,601,558,43,26,0
GERBER 1101,930,778,105,51,47
GERBER 1102,806,569,121,33,116
GEYSERVILLE 1101,"1,445",945,302,25,198
GEYSERVILLE 1102,"1,173",697,286,13,190
GIRVAN 1101,"1,264",1128,131,72,5
GIRVAN 1102,"1,351",1067,271,62,13
GLENN 1101,47,30,13,2,4
GRASS VALLEY 1101,745,493,247,25,5
GRASS VALLEY 1102,"1,210",905,299,28,6
GRASS VALLEY 1103,"1,451",1279,162,69,10
HALF MOON BAY 1101,"2,560",2047,459,39,54
HALF MOON BAY 1102,"4,856",4502,336,104,18
HALF MOON BAY 1103,"4,863",3992,751,79,120
HALSEY 1101,"2,257",2103,152,92,2
HALSEY 1102,"2,057",1698,331,88,28
HARRIS 1108,"4,928",4583,345,181,0
HARRIS 1109,"3,832",3287,541,124,4
HARTLEY 1101,"2,879",2429,409,148,41
HARTLEY 1102,"1,433",1314,111,100,8
HICKS 2101,"4,818",4643,171,145,4
HIGGINS 1103,"1,931",1790,139,108,2
HIGGINS 1104,"2,706",2645,60,148,1
HIGGINS 1107,"1,678",1582,96,88,0
HIGGINS 1109,"1,613",1405,185,80,23
HIGGINS 1110,"1,357",1311,46,61,0
HIGHLANDS 1102,"3,391",3019,359,254,13
HIGHLANDS 1103,"2,416",2110,272,138,34
HIGHLANDS 1104,"2,718",2495,218,210,5
HOOPA 1101,"1,762",1405,348,52,9
HOPLAND 1101,"1,245",893,269,38,83
HORSESHOE 1101,"1,324",1233,85,52,6
HORSESHOE 1104,"1,280",1239,41,49,0
"HUM BAY BANK NO. 111101","1,009",888,121,45,0
"HUM BAY BANK NO. 111102","3,029",2794,208,120,27
JAMESON 1102,"2,240",2098,133,96,9
JAMESON 1103,"1,287",1210,61,46,16
JAMESON 1105,"2,521",1943,469,53,109
JANES CREEK 1101,"2,172",1997,167,81,8
JANES CREEK 1102,991,874,110,14,7
JANES CREEK 1103,"3,592",3081,502,138,9
JANES CREEK 1104,137,27,110,2,0
JARVIS 1111,532,497,32,24,3
JESSUP 1101,"1,941",1760,178,139,3
JESSUP 1102,"2,232",1941,288,154,3
JESSUP 1103,"1,560",1409,142,96,9
KANAKA 1101,609,552,50,33,7
KERN OIL 1104,180,160,18,17,2
KERN OIL 1106,12,1,11,0,0
KONOCTI 1102,"2,701",2340,286,106,75
KONOCTI 1108,"1,972",1870,99,118,3
LAKEVIEW 1106,112,14,57,1,41
LAKEVILLE 1102,"1,333",1144,134,57,55
LAKEWOOD 2107,"3,443",3263,173,117,7
LAMONT 1102,5,0,5,0,0
LAS AROMAS 0401,424,413,11,11,0
LAS POSITAS 2108,49,15,31,2,3
LINCOLN 1101,"2,245",1896,312,98,37
LINCOLN 1104,"1,240",1048,105,51,87
LOGAN CREEK 2102,"1,369",750,331,41,288
LOS GATOS 1106,"1,576",1383,184,48,9
LOS GATOS 1107,"2,146",1932,209,49,5
LOS MOLINOS 1101,972,819,88,61,65
LOS MOLINOS 1102,"1,114",907,156,81,51
LOW GAP 1101,693,582,109,18,2
LUCERNE 1103,"2,108",1890,205,150,13
LUCERNE 1106,"3,039",2824,209,197,6
MADISON 1105,538,297,109,15,132
MADISON 2101,"1,943",1408,309,70,226
MAPLE CREEK 1101,139,95,34,3,11
MARTELL 1101,"2,234",1898,328,100,8
MARTELL 1102,"1,217",974,242,63,1
MAXWELL 1105,43,28,9,1,6
MC KEE 1103,77,71,6,1,0
MC KEE 1107,"3,957",3806,142,135,9
MC KEE 1108,26,25,1,1,0
MC KEE 1111,139,131,8,4,0
MENLO 1102,497,447,47,5,3
MENLO 1103,301,232,66,8,3
MERCED FALLS 1102,"1,627",1485,135,96,7
MIDDLETOWN 1101,"1,905",1598,284,65,23
MIDDLETOWN 1102,"2,298",2080,205,113,13
MIDDLETOWN 1103,145,97,36,3,12
MILPITAS 1105,3,2,1,0,0
MILPITAS 1108,3,3,0,0,0
MILPITAS 1109,310,234,68,9,8
MIWUK SUB 1701,"3,651",3399,247,103,5
MIWUK SUB 1702,"3,773",3512,258,170,3
MONROE 2107,"2,634",2391,243,92,0
MONTICELLO 1101,"1,331",1094,190,51,47
MORAGA 1101,"1,191",1022,163,28,6
MORAGA 1102,842,597,243,21,2
MORAGA 1103,"2,888",2762,126,75,0
MORAGA 1104,"1,760",1622,134,51,4
MORAGA 1105,"1,884",1730,154,50,0
MORGAN HILL 2104,"3,758",3422,317,116,19
MORGAN HILL 2111,"2,609",2223,322,93,64
"MOUNTAIN QUARRIES2101","3,613",3299,294,177,20
NAPA 1102,"3,715",3443,233,72,39
NAPA 1112,"2,748",2558,150,97,40
NARROWS 2101,504,455,42,25,7
NARROWS 2102,"3,387",3238,135,165,14
NARROWS 2105,"3,903",3495,386,172,22
NEWBURG 1131,"2,583",2309,244,121,30
NEWBURG 1132,"3,336",2761,555,128,20
NEWBURG 1133,501,459,39,21,3
NOTRE DAME 1103,12,11,1,0,0
NOTRE DAME 1104,"2,265",2116,146,109,3
OLETA 1101,"1,628",1303,295,54,30
OLETA 1102,"1,056",782,176,34,98
OREGON TRAIL 1102,850,781,67,58,2
OREGON TRAIL 1103,"1,706",1599,97,89,10
OREGON TRAIL 1104,958,848,106,46,4
ORICK 1101,84,59,13,2,12
ORICK 1102,247,168,72,7,7
ORINDA 0401,289,277,12,7,0
ORINDA 0402,449,432,17,14,0
ORO FINO 1101,"2,277",2204,71,223,2
ORO FINO 1102,"1,949",1814,123,102,12
OROVILLE 1104,57,40,17,3,0
PANORAMA 1101,794,779,14,69,1
PANORAMA 1102,212,162,32,15,18
PARADISE 1103,839,598,240,35,1
PARADISE 1104,792,653,139,53,0
PARADISE 1105,"1,020",797,222,54,1
PARADISE 1106,289,229,60,9,0
PAUL SWEET 2105,218,214,4,14,0
PAUL SWEET 2106,"3,153",2741,384,136,28
PAUL SWEET 2107,19,2,17,0,0
PEABODY 2106,"2,910",2848,60,162,2
PEABODY 2108,"3,906",3727,178,263,1
PEABODY 2113,"5,447",5113,333,285,1
PENNGROVE 1101,"2,068",1896,142,60,30
PENRYN 1103,"1,460",1377,69,61,14
PENRYN 1105,"1,890",1672,186,59,32
PENRYN 1106,"2,132",1604,524,88,4
PENRYN 1107,"2,145",1986,147,95,12
PEORIA FLAT 1701,"1,862",1664,174,64,24
PEORIA FLAT 1704,"3,137",2802,299,153,36
PEORIA FLAT 1705,"2,461",2115,336,189,10
PHILO 1101,1,1,0,0,0
PIERCY 2110,"3,030",2909,114,74,7
PIKE CITY 1101,392,346,44,17,2
PIKE CITY 1102,24,15,8,1,1
PINE GROVE 1101,"1,336",1182,144,68,10
PINE GROVE 1102,"4,239",3813,410,247,16
PINECREST 0401,207,178,29,0,0
PIT NO.5 1101,112,80,30,2,2
PIT NO.7 1101,2,1,1,0,0
PLACER 1101,"1,082",815,259,27,8
PLACER 1102,38,35,3,4,0
PLACER 1103,"2,002",1770,227,88,5
PLACER 1104,"2,045",1538,492,102,15
PLACERVILLE 1109,572,420,150,24,2
PLACERVILLE 1110,"1,574",1309,263,66,2
PLACERVILLE 1111,"1,061",788,266,47,7
PLACERVILLE 1112,"2,049",1683,363,77,3
PLACERVILLE 2106,"5,142",4758,363,248,21
POINT MORETTI 1101,"1,071",943,117,51,11
POSO MOUNTAIN 2101,135,76,46,2,13
POSO MOUNTAIN 2103,25,10,12,0,3
POSO MOUNTAIN 2104,9,2,7,0,0
POTTER VALLEY P H 1104,296,234,37,10,25
POTTER VALLEY P H 1105,778,640,99,30,39
PUEBLO 1104,"1,926",1707,171,42,48
PUEBLO 2101,25,25,0,5,0
PUEBLO 2102,382,234,86,4,62
PUEBLO 2103,"4,605",4277,218,202,110
PUTAH CREEK 1102,909,739,121,38,49
PUTAH CREEK 1103,"1,993",1755,166,87,72
PUTAH CREEK 1105,869,585,175,24,109
RACETRACK SUB 1703,"3,420",2890,522,208,8
RACETRACK SUB 1704,664,621,37,42,6
RAWSON 1103,"2,489",2007,439,127,43
RED BLUFF 1101,"1,560",1456,94,107,10
RED BLUFF 1102,394,207,183,3,4
RED BLUFF 1103,"2,641",2364,276,156,1
RED BLUFF 1104,"1,492",1336,127,92,29
RED BLUFF 1105,"1,847",1546,279,103,22
REDBUD 1101,"1,957",1783,143,117,31
REDBUD 1102,"3,190",3007,163,214,20
RIDGE 0401,401,395,6,4,0
RINCON 1101,"3,665",3443,207,169,15
RINCON 1102,"4,574",4351,221,146,2
RINCON 1103,"2,014",1913,86,79,15
RINCON 1104,"4,016",3737,275,151,4
RIO DEL MAR 0401,"1,028",982,45,34,1
RIO DELL 1101,"1,015",892,101,40,22
RIO DELL 1102,"1,324",1092,197,41,35
ROB ROY 2104,"3,548",3189,274,186,85
ROB ROY 2105,"7,016",6352,637,288,27
ROSSMOOR 1106,"2,804",2566,238,74,0
ROSSMOOR 1108,"2,870",2754,116,84,0
SALT SPRINGS 2101,387,331,55,0,1
SALT SPRINGS 2102,"1,990",1911,76,13,3
SAN BERNARD 1101,120,12,46,0,62
SAN LEANDRO 1109,"3,850",3511,336,154,3
SAN RAMON 2108,"1,842",1723,119,41,0
SANTA ROSA A 1104,"3,288",2854,425,109,9
SANTA ROSA A 1111,"4,682",4356,316,159,10
SARATOGA 1107,"2,388",2189,197,46,2
SAUSALITO 1101,15,14,1,0,0
SAUSALITO 1102,"3,635",3200,420,53,15
SHADY GLEN 1101,"1,833",1530,298,67,5
SHINGLE SPRINGS 2105,"3,946",3619,326,220,1
SHINGLE SPRINGS 2109,"3,500",3165,320,171,15
SILVERADO 2102,"1,278",655,361,6,262
SILVERADO 2103,935,553,232,6,150
SILVERADO 2104,"3,772",3134,493,97,145
SILVERADO 2105,"2,272",1746,412,25,114
SMARTVILLE 1101,255,221,29,16,5
SOBRANTE 1101,"1,979",1599,367,52,13
SOBRANTE 1102,"1,793",1688,99,50,6
SOBRANTE 1103,546,495,51,17,0
SONOMA 1102,"3,372",3004,355,75,13
SONOMA 1103,"2,101",1671,406,37,24
SONOMA 1104,"3,189",2893,248,57,48
SONOMA 1105,"2,157",1596,467,49,94
SONOMA 1106,"3,103",2664,437,71,2
SONOMA 1107,"1,650",1260,288,57,102
SOQUEL 0402,"1,516",1395,121,53,0
SPAULDING 1101,161,81,71,0,9
SPRING GAP 1702,"1,478",1329,147,9,2
SPRUCE 0401,690,682,8,15,0
SPRUCE 0402,622,607,15,14,0
STANISLAUS 1701,"1,780",1583,192,71,5
STANISLAUS 1702,"4,889",4576,312,80,1
STATION A EUREKA 1103,"2,068",1771,288,57,9
STATION A EUREKA 1106,214,45,168,3,1
STATION A EUREKA 1107,854,261,588,4,5
STATION E EUREKA 1101,"2,110",1979,131,80,0
STATION E EUREKA 1104,"3,708",3406,297,146,5
STATION E EUREKA 1105,"1,618",1264,353,49,1
STELLING 1110,"3,704",3416,283,42,5
STELLING 1111,138,132,6,2,0
"STILLWATER STATION1101",695,593,96,42,6
"STILLWATER STATION1102","1,371",1320,51,81,0
SUBSTATION G 1105,"3,834",3695,137,92,2
SUBSTATION K 1102,"2,521",2406,112,49,3
SUBSTATION K 1104,"2,650",2378,272,38,1
SUBSTATION X 1101,692,677,15,11,0
SUBSTATION X 1106,"3,726",3492,220,73,14
SUMMIT 1102,287,210,77,1,0
SUNOL 1101,700,496,172,17,32
SWIFT 2102,4,3,1,0,0
SWIFT 2107,"4,656",4465,189,115,2
SWIFT 2108,67,67,0,1,0
SWIFT 2109,18,18,0,0,0
SWIFT 2110,"2,232",2047,174,82,11
SYCAMORE CREEK 1111,"1,882",1391,478,62,13
TAMARACK 1101,428,390,32,3,6
TAMARACK 1102,135,108,21,2,6
TAR FLAT 0401,341,332,9,21,0
TAR FLAT 0402,480,416,64,24,0
TASSAJARA 2113,"5,932",5762,169,157,1
TEJON 1102,596,480,102,26,14
TEJON 1103,83,25,31,0,27
TIGER CREEK 0201,13,2,11,0,0
TRINIDAD 1101,710,628,70,24,12
TRINIDAD 1102,734,605,108,13,21
TULUCAY 1101,480,45,417,2,18
TYLER 1103,"1,252",1099,152,93,1
TYLER 1104,402,321,53,32,28
TYLER 1105,"1,654",1366,233,115,55
UKIAH 1114,"1,690",1351,276,53,63
UKIAH 1115,683,623,54,26,6
UPPER LAKE 1101,"1,131",889,183,46,59
VACA DIXON 1101,915,739,176,39,0
VACA DIXON 1105,"1,536",1397,120,138,19
VACAVILLE 1104,"2,738",2436,289,140,13
VACAVILLE 1108,"2,314",2004,289,126,21
VACAVILLE 1109,"1,810",1639,167,112,4
VACAVILLE 1111,"2,095",1972,113,134,10
VACAVILLE 1112,"2,551",2512,39,147,0
VALLEY VIEW 1106,"4,379",4258,121,225,0
VINA 1101,121,78,35,5,8
VOLTA 1101,"1,285",1079,175,38,31
VOLTA 1102,"2,563",2381,171,176,11
WEIMAR 1101,"1,616",1508,100,60,8
WEIMAR 1102,631,599,32,34,0
WEST POINT 1101,"1,757",1693,61,81,3
WESTLEY 1103,3,1,1,0,1
WHEATLAND 1105,627,489,76,33,62
WHEELER RIDGE 1101,319,59,135,0,125
WHITMORE 1101,514,463,41,21,10
WILDWOOD 1101,130,94,34,4,2
WILLOW CREEK 1101,752,659,76,26,17
WILLOW CREEK 1102,133,118,11,6,4
WILLOW CREEK 1103,"1,430",1189,230,54,11
WISE 1101,953,774,175,45,4
WISE 1102,"1,700",1590,83,67,27
WOOD 0401,724,715,9,13,0
WOODSIDE 1101,"1,742",1524,209,28,9
WYANDOTTE 1102,"2,850",2510,338,207,2
WYANDOTTE 1103,"2,160",1816,335,155,9
WYANDOTTE 1105,330,319,10,39,1
WYANDOTTE 1106,"1,552",1049,405,98,98
WYANDOTTE 1107,"2,735",2533,175,222,27
WYANDOTTE 1109,"3,460",3155,271,340,34
WYANDOTTE 1110,"2,673",2557,113,241,3
