Circuit,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
PARADISE 1104,806,664,142,54,0
PARADISE 1105,1029,803,225,54,1
PARADISE 1106,290,230,60,9,0
PIKE CITY 1101,390,344,44,17,2
PIKE CITY 1102,24,15,8,1,1
PINE GROVE 1101,1335,1181,144,68,10
PINE GROVE 1102,4237,3813,408,248,16
PLACERVILLE 1109,570,420,148,24,2
PLACERVILLE 1110,1574,1309,263,68,2
PLACERVILLE 1111,1063,787,266,47,10
PLACERVILLE 1112,2053,1687,363,78,3
PLACERVILLE 2106,4903,4551,333,242,19
POTTER VALLEY P H 1105,71,63,4,0,4
PUEBLO 2102,81,62,17,1,2
PUEBLO 2103,158,102,32,3,24
RINCON 1101,3666,3444,207,169,15
RINCON 1102,4576,4353,221,146,2
RINCON 1103,2016,1915,86,79,15
RINCON 1104,4016,3737,275,152,4
SALT SPRINGS 2101,387,331,55,0,1
SALT SPRINGS 2102,1989,1910,76,13,3
SANTA ROSA A 1104,2309,2015,286,78,8
SANTA ROSA A 1107,238,208,29,4,1
SHADY GLEN 1101,1834,1530,299,67,5
SHADY GLEN 1102,736,663,71,42,2
SHINGLE SPRINGS 2109,579,430,145,15,4
SILVERADO 2102,759,399,196,3,164
SILVERADO 2103,14,9,3,0,2
SILVERADO 2104,2224,1899,217,62,108
SILVERADO 2105,342,246,55,2,41
SMARTVILLE 1101,255,221,29,17,5
SONOMA 1102,270,244,19,5,7
SONOMA 1103,314,282,19,5,13
SONOMA 1106,167,129,38,2,0
STANISLAUS 1701,1778,1581,192,72,5
STANISLAUS 1702,4894,4581,312,82,1
SYCAMORE CREEK 1111,596,531,57,21,8
TEJON 1103,15,4,10,0,1
TIGER CREEK 0201,13,2,11,0,0
UPPER LAKE 1101,10,10,0,2,0
VOLTA 1101,748,671,76,14,1
WEIMAR 1101,1617,1509,100,60,8
WEIMAR 1102,632,600,32,34,0
WEST POINT 1101,1754,1690,61,82,3
WEST POINT 1102,2815,2554,236,140,25
WHEATLAND 1105,197,165,30,7,2
WINDSOR 1103,73,62,6,4,5
WISE 1102,648,593,35,23,20
WOODSIDE 1101,360,307,51,10,2
WYANDOTTE 1102,33,29,3,3,1
WYANDOTTE 1103,1598,1464,125,118,9
WYANDOTTE 1105,329,318,10,39,1
WYANDOTTE 1106,9,8,1,0,0
WYANDOTTE 1107,1913,1782,103,146,28
WYANDOTTE 1109,2287,2043,210,227,34
WYANDOTTE 1110,1637,1582,52,173,3
