circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude,substn_present,total_population
EL DORADO PH-2102,2018-10-14 21:00:00,2018-10-15 18:37:00.000000000,1297.0,Pollock Pines,3.0,1649.0,1455.0,95726,-120.621921461011,38.7956054290149,True,8207.0
FORESTHILL-1101,2018-10-14 21:27:00,2018-10-16 12:19:00.000000000,2332.0,Foresthill,3.0,2242.0,2047.0,95631,-120.830245241687,39.0193016687429,True,6604.0
FORESTHILL-1102,2018-10-14 21:27:00,2018-10-15 14:57:00.000000000,1050.0,Foresthill,3.0,421.0,395.0,95631,-120.830245241687,39.0193016687429,True,6604.0
HIGHLANDS-1102,2018-10-14 20:40:00,2018-10-16 18:21:00.000000000,2741.0,Clearlake Oaks,3.0,25.0,15.0,95422,-122.608908487464,38.9370612892731,True,15644.0
KONOCTI-1102,2018-10-14 20:28:00,2018-10-16 12:58:00.000000000,2430.0,"Cobb, Kelseyville, Lower Lake, Middletown",3.0,2800.0,2322.0,95451,-122.741006289886,38.9323303616213,True,12031.0
MIDDLETOWN-1101,2018-10-14 20:39:00,2018-10-16 15:40:00.000000000,2581.0,"Calistoga, Cobb, Kelseyville, Middletown",3.0,1999.0,1565.0,95461,-122.608722488845,38.7529172124159,True,2714.0
MIDDLETOWN-1102,2018-10-14 20:39:00,2018-10-15 17:49:00.000000000,1270.0,"Hidden Valley Lake, Middletown",3.0,2342.0,2074.0,95461,-122.608722488845,38.7529172124159,True,2714.0
MIDDLETOWN-1103,2018-10-14 20:39:00,2018-10-15 17:49:00.000000000,1270.0,Middletown,3.0,156.0,96.0,95461,-122.608722488845,38.7529172124159,True,2714.0
OLETA-1102,2018-10-14 21:01:00,2018-10-15 20:18:00.000000000,1397.0,Fiddletown,3.0,54.0,42.0,95669,-120.844943633836,38.480764254906,True,4899.0
PINE GROVE-1101,2018-10-14 22:11:00,2018-10-15 19:34:00.000000000,1283.0,"Jackson, Pine Grove, Sutter Creek",2.0,1368.0,1179.0,95665,-120.660233944587,38.4127977031006,True,3729.0
PINE GROVE-1102,2018-10-14 22:11:00,2018-10-16 15:19:00.000000000,2468.0,"Fiddletown, Pine Grove, Pioneer, Sutter Creek, Volcano",3.0,4401.0,3815.0,95665,-120.660233944587,38.4127977031006,True,3729.0
PLACERVILLE-1110,2018-10-14 21:06:00,2018-10-15 18:21:00.000000000,1275.0,Placerville,3.0,1617.0,1306.0,95667,-120.783838608274,38.7308986421241,True,35452.0
REDBUD-1101,2018-10-14 20:39:00,2018-10-15 17:50:00.000000000,1271.0,Clearlake Oaks,3.0,916.0,780.0,95423,-122.662383260156,39.0275350391145,True,3597.0
REDBUD-1102,2018-10-14 20:35:00,2018-10-15 17:53:00.000000000,1278.0,"Clearlake, Clearlake Oaks, Clearlake Park",3.0,3407.0,3031.0,95423,-122.662383260156,39.0275350391145,True,3597.0
SILVERADO-2102,2018-10-14 20:29:00,2018-10-15 16:48:00.000000000,1219.0,"Napa, Saint Helena",3.0,207.0,107.0,94574,-122.459110675812,38.4998179385502,True,8527.0
SILVERADO-2104,2018-10-14 20:24:00,2018-10-17 08:47:00.000000000,3623.0,"Angwin, Calistoga, Deer Park, Pope Valley, Saint Helena",3.0,2287.0,1872.0,94574,-122.459110675812,38.4998179385502,True,8527.0
TIGER CREEK-0201,2018-10-14 21:24:00,2018-10-15 10:00:00.000000000,756.0,Pioneer,3.0,14.0,2.0,95666,-120.492276907738,38.4491752438661,True,4692.0
WEST POINT-1101,2018-10-14 21:11:00,2018-10-16 17:16:00.000000000,2645.0,"Pioneer, Volcano",3.0,1785.0,1692.0,95666,-120.549773671074,38.4210150460082,True,4692.0
BONNIE NOOK-1101,2018-10-14 21:54:00,2018-10-15 18:04:00.000000000,1210.0,Alta,0.0,514.0,421.0,95701,-120.809292450506,39.2147078693068,True,1064.0
PLACERVILLE-2106,2018-10-14 21:06:00,2018-10-15 18:21:00.000000000,1275.0,Placerville,0.0,5243.0,4762.0,95667,-120.783838608274,38.7308986421241,True,35452.0
BANGOR1101,2019-06-08 20:45:00,2019-06-09 12:32:00.000000000,947.0,"MARYSVILLE, BANGOR, OREGON HOUSE, BROWNS VALLEY, RACKERBY, OROVILLE, DOBBINS, BROWNSVILLE, LOMA RICA",3.0,2290.0,2021.0,95914,-121.403175699252,39.3876737377382,True,660.0
BUTTE1105,2019-06-08 20:55:00,2019-06-09 13:57:00.000000000,1022.0,CHICO,3.0,190.0,173.0,95928,-121.813357076893,39.7122064481817,True,38655.0
CLARK ROAD1101,2019-06-08 21:12:00,2019-06-09 10:41:00.000000000,809.0,OROVILLE,2.0,13.0,0.0,95965,-121.635508221299,39.6545213308009,True,20681.0
MONTICELLO1101,2019-06-08 06:18:00,2019-06-08 19:04:00.000000000,766.0,"NAPA, LAKE BERRYESSA, SUISUN CITY",2.0,1330.0,1097.0,94558,-122.214463638288,38.5085165894211,True,66854.0
ORO FINO1101,2019-06-08 21:04:00,2019-06-09 17:20:00.000000000,1216.0,MAGALIA,3.0,2281.0,2208.0,95954,-121.610785061424,39.8715625311378,True,12221.0
OROVILLE0403,2019-06-08 21:19:00,2019-06-09 09:46:00.000000000,747.0,OROVILLE,0.0,245.0,211.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1101,2019-06-08 21:19:00,2019-06-09 09:54:00.000000000,755.0,OROVILLE,0.0,2443.0,2103.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1102,2019-06-08 21:19:00,2019-06-09 09:51:00.000000000,752.0,OROVILLE,0.0,651.0,427.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1103,2019-06-08 21:19:00,2019-06-09 09:35:00.000000000,736.0,OROVILLE,0.0,510.0,471.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1104,2019-06-08 21:19:00,2019-06-09 09:48:00.000000000,749.0,OROVILLE,0.0,1269.0,1150.0,95965,-121.560155017326,39.503997949522,True,20681.0
PARADISE1103,2019-06-08 20:43:00,2019-06-09 13:52:00.000000000,1029.0,PARADISE,3.0,737.0,518.0,95969,-121.61873043547,39.7606629529058,True,19112.0
PARADISE1104,2019-06-08 20:53:00,2019-06-09 14:40:00.000000000,1067.0,PARADISE,3.0,670.0,566.0,95969,-121.61873043547,39.7606629529058,True,19112.0
WYANDOTTE1102,2019-06-08 21:19:00,2019-06-09 09:40:00.000000000,741.0,OROVILLE,0.0,146.0,72.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1103,2019-06-08 20:47:00,2019-06-09 13:19:00.000000000,992.0,"OROVILLE, BERRY CREEK",3.0,1602.0,1466.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1106,2019-06-08 20:50:00,2019-06-09 09:58:00.000000000,788.0,OROVILLE,2.0,164.0,135.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1107,2019-06-08 20:43:00,2019-06-09 15:43:00.000000000,1140.0,OROVILLE,3.0,1912.0,1785.0,95966,-121.540946685493,39.4917002562126,True,29444.0
CLARK ROAD11024,2019-06-08 21:12:00,2019-06-09 11:51:00.000000000,879.0,"OROVILLE, OROVILLE, PARADISE",0.0,1039.0,902.0,95965,-121.635508221299,39.6545213308009,True,20681.0
OROVILLE0402,2019-06-08 21:19:00,2019-06-09 09:46:48.000000000,748.0,"OROVILLE, OROVILLE, OROVILLE, OROVILLE, OROVILLE",0.0,355.0,203.0,95965,-121.560155017326,39.503997949522,True,20681.0
WYANDOTTE1109,2019-06-08 20:54:45,2019-06-09 12:10:00.000000000,915.0,"OROVILLE, OROVILLE, BERRY CREEK, OROVILLE, OROVILLE",0.0,2171.0,1933.0,95966,-121.540946685493,39.4917002562126,True,29444.0
BANGOR1101,2019-09-23 17:06:00,2019-09-24 15:46:00.000000000,1360.0,"MARYSVILLE, BANGOR, OREGON HOUSE, BROWNSVILLE, LOMA RICA VALLEY, RACKERBY, OROVILLE, DOBBINS,",3.0,2299.0,2029.0,95914,-121.403175699252,39.3876737377382,True,660.0
BANGOR1101,2019-09-23 17:06:00,2019-09-24 15:46:00.000000000,1360.0,"MARYSVILLE, BANGOR, OREGON HOUSE, BROWNSVILLE, LOMA RICA VALLEY, RACKERBY, OROVILLE, DOBBINS,",3.0,2299.0,2029.0,95914,-121.403175699252,39.3876737377382,True,660.0
BANGOR1101,2019-09-25 03:13:00,2019-09-25 18:55:00.000000000,942.0,"MARYSVILLE, BANGOR, OREGON HOUSE, BROWNS VALLEY, RACKERBY, OROVILLE, DOBBINS, BROWNSVILLE, LOMA RICA",3.0,2299.0,2029.0,95914,-121.403175699252,39.3876737377382,True,660.0
BANGOR1101,2019-09-25 03:13:00,2019-09-25 18:55:00.000000000,942.0,"MARYSVILLE, BANGOR, OREGON HOUSE, BROWNS VALLEY, RACKERBY, OROVILLE, DOBBINS, BROWNSVILLE, LOMA RICA",3.0,2299.0,2029.0,95914,-121.403175699252,39.3876737377382,True,660.0
BIG BEND1101,2019-09-23 17:07:00,2019-09-24 11:11:00.000000000,1084.0,OROVILLE,3.0,190.0,168.0,95965,-121.491517892521,39.6773546412159,True,20681.0
BIG BEND1101,2019-09-23 17:07:00,2019-09-24 11:11:00.000000000,1084.0,OROVILLE,3.0,190.0,168.0,95965,-121.491517892521,39.6773546412159,True,20681.0
BIG BEND1101,2019-09-25 03:06:00,2019-09-25 16:20:00.000000000,794.0,OROVILLE,3.0,190.0,168.0,95965,-121.491517892521,39.6773546412159,True,20681.0
BIG BEND1101,2019-09-25 03:06:00,2019-09-25 16:20:00.000000000,794.0,OROVILLE,3.0,190.0,168.0,95965,-121.491517892521,39.6773546412159,True,20681.0
BIG BEND1102,2019-09-23 17:07:00,2019-09-24 12:42:00.000000000,1175.0,"BERRY CREEK, BRUSH CREEK",3.0,368.0,326.0,95965,-121.491517892521,39.6773546412159,True,20681.0
BIG BEND1102,2019-09-23 17:07:00,2019-09-24 12:42:00.000000000,1175.0,"BERRY CREEK, BRUSH CREEK",3.0,368.0,326.0,95965,-121.491517892521,39.6773546412159,True,20681.0
BIG BEND1102,2019-09-25 03:06:00,2019-09-25 17:15:00.000000000,849.0,"BERRY CREEK, BRUSH CREEK",3.0,368.0,326.0,95965,-121.491517892521,39.6773546412159,True,20681.0
BIG BEND1102,2019-09-25 03:06:00,2019-09-25 17:15:00.000000000,849.0,"BERRY CREEK, BRUSH CREEK",3.0,368.0,326.0,95965,-121.491517892521,39.6773546412159,True,20681.0
CHALLENGE1102,2019-09-23 17:06:00,2019-09-25 15:51:00.000000000,2805.0,"BROWNSVILLE, CHALLENGE, FORBESTOWN, DOBBINS",3.0,819.0,709.0,95925,-121.22031867914,39.4852592580312,True,261.0
CHALLENGE1102,2019-09-23 17:06:00,2019-09-25 15:51:00.000000000,2805.0,"BROWNSVILLE, CHALLENGE, FORBESTOWN, DOBBINS",3.0,817.0,707.0,95925,-121.22031867914,39.4852592580312,True,261.0
CHALLENGE1102,2019-09-25 03:13:00,2019-09-25 17:24:00.000000000,851.0,"BROWNSVILLE, CHALLENGE, FORBESTOWN, DOBBINS",3.0,819.0,709.0,95925,-121.22031867914,39.4852592580312,True,261.0
CHALLENGE1102,2019-09-25 03:13:00,2019-09-25 17:24:00.000000000,851.0,"BROWNSVILLE, CHALLENGE, FORBESTOWN, DOBBINS",3.0,817.0,707.0,95925,-121.22031867914,39.4852592580312,True,261.0
DOBBINS1101,2019-09-23 17:08:00,2019-09-24 14:16:00.000000000,1268.0,"DOBBINS, OREGON HOUSE, CAMPTONVILLE",3.0,847.0,731.0,95935,-121.194927241139,39.3398765153899,True,113.0
DOBBINS1101,2019-09-23 17:08:00,2019-09-24 14:16:00.000000000,1268.0,"DOBBINS, OREGON HOUSE, CAMPTONVILLE",3.0,846.0,730.0,95935,-121.194927241139,39.3398765153899,True,113.0
DOBBINS1101,2019-09-25 02:57:00,2019-09-25 18:23:00.000000000,926.0,"DOBBINS, OREGON HOUSE, CAMPTONVILLE",3.0,847.0,731.0,95935,-121.194927241139,39.3398765153899,True,113.0
DOBBINS1101,2019-09-25 02:57:00,2019-09-25 18:23:00.000000000,926.0,"DOBBINS, OREGON HOUSE, CAMPTONVILLE",3.0,846.0,730.0,95935,-121.194927241139,39.3398765153899,True,113.0
KANAKA1101,2019-09-23 17:09:00,2019-09-24 18:38:00.000000000,1529.0,"OROVILLE, FORBESTOWN, FEATHER FALLS",3.0,609.0,553.0,95966,-121.305578305685,39.5751864763597,True,29444.0
KANAKA1101,2019-09-23 17:09:00,2019-09-24 18:38:00.000000000,1529.0,"OROVILLE, FORBESTOWN, FEATHER FALLS",3.0,609.0,553.0,95966,-121.305578305685,39.5751864763597,True,29444.0
KANAKA1101,2019-09-25 03:27:00,2019-09-25 18:18:00.000000000,891.0,"OROVILLE, FORBESTOWN, FEATHER FALLS",3.0,609.0,553.0,95966,-121.305578305685,39.5751864763597,True,29444.0
KANAKA1101,2019-09-25 03:27:00,2019-09-25 18:18:00.000000000,891.0,"OROVILLE, FORBESTOWN, FEATHER FALLS",3.0,609.0,553.0,95966,-121.305578305685,39.5751864763597,True,29444.0
NARROWS2101,2019-09-23 17:19:00,2019-09-24 12:58:00.000000000,1179.0,"BROWNS VALLEY, SMARTVILLE",2.0,503.0,454.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2101,2019-09-23 17:19:00,2019-09-24 12:58:00.000000000,1179.0,"BROWNS VALLEY, SMARTVILLE",2.0,503.0,454.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2101,2019-09-25 03:02:00,2019-09-25 17:45:00.000000000,883.0,"BROWNS VALLEY, SMARTVILLE",2.0,503.0,454.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2101,2019-09-25 03:02:00,2019-09-25 17:45:00.000000000,883.0,"BROWNS VALLEY, SMARTVILLE",2.0,503.0,454.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2102,2019-09-23 17:19:00,2019-09-24 15:34:00.000000000,1335.0,"PENN VALLEY, NEVADA CITY, SMARTVILLE",2.0,3392.0,3242.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2102,2019-09-23 17:19:00,2019-09-24 15:34:00.000000000,1335.0,"PENN VALLEY, NEVADA CITY, SMARTVILLE",2.0,3392.0,3242.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2102,2019-09-25 03:02:00,2019-09-25 19:25:00.000000000,983.0,"PENN VALLEY, NEVADA CITY, SMARTVILLE",2.0,3392.0,3242.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2102,2019-09-25 03:02:00,2019-09-25 19:25:00.000000000,983.0,"PENN VALLEY, NEVADA CITY, SMARTVILLE",2.0,3392.0,3242.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2105,2019-09-23 17:19:00,2019-09-24 14:19:00.000000000,1260.0,"PENN VALLEY, ROUGH AND READY, SMARTVILLE, GRASS VALLEY",2.0,3904.0,3495.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2105,2019-09-23 17:19:00,2019-09-24 14:19:00.000000000,1260.0,"PENN VALLEY, ROUGH AND READY, SMARTVILLE, GRASS VALLEY",2.0,3904.0,3496.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2105,2019-09-25 03:02:00,2019-09-25 18:17:00.000000000,915.0,"PENN VALLEY, ROUGH AND READY, SMARTVILLE, GRASS VALLEY",2.0,3904.0,3495.0,95977,-121.268631468302,39.2351286694622,True,1586.0
NARROWS2105,2019-09-25 03:02:00,2019-09-25 18:17:00.000000000,915.0,"PENN VALLEY, ROUGH AND READY, SMARTVILLE, GRASS VALLEY",2.0,3904.0,3496.0,95977,-121.268631468302,39.2351286694622,True,1586.0
SMARTVILLE1101,2019-09-23 17:07:00,2019-09-24 09:03:00.000000000,956.0,"SMARTVILLE, MARYSVILLE",2.0,255.0,221.0,95977,-121.303269083848,39.2090055295849,True,1586.0
SMARTVILLE1101,2019-09-23 17:07:00,2019-09-24 09:03:00.000000000,956.0,"SMARTVILLE, MARYSVILLE",2.0,255.0,221.0,95977,-121.303269083848,39.2090055295849,True,1586.0
SMARTVILLE1101,2019-09-25 02:51:00,2019-09-25 14:39:00.000000000,708.0,"SMARTVILLE, MARYSVILLE",2.0,255.0,221.0,95977,-121.303269083848,39.2090055295849,True,1586.0
SMARTVILLE1101,2019-09-25 02:51:00,2019-09-25 14:39:00.000000000,708.0,"SMARTVILLE, MARYSVILLE",2.0,255.0,221.0,95977,-121.303269083848,39.2090055295849,True,1586.0
WYANDOTTE1102,2019-09-23 17:14:00,2019-09-24 08:29:00.000000000,915.0,OROVILLE,2.0,33.0,29.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1102,2019-09-23 17:14:00,2019-09-24 08:29:00.000000000,915.0,OROVILLE,2.0,33.0,29.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1102,2019-09-25 03:23:00,2019-09-25 17:19:00.000000000,836.0,OROVILLE,2.0,33.0,29.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1102,2019-09-25 03:23:00,2019-09-25 17:19:00.000000000,836.0,OROVILLE,2.0,33.0,29.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1103,2019-09-23 17:07:00,2019-09-24 14:10:00.000000000,1263.0,"OROVILLE, BERRY CREEK",3.0,1603.0,1466.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1103,2019-09-23 17:07:00,2019-09-24 14:10:00.000000000,1263.0,"OROVILLE, BERRY CREEK",3.0,1600.0,1465.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1103,2019-09-25 03:10:00,2019-09-25 21:04:00.000000000,1074.0,"OROVILLE, BERRY CREEK",3.0,1603.0,1466.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1103,2019-09-25 03:10:00,2019-09-25 21:04:00.000000000,1074.0,"OROVILLE, BERRY CREEK",3.0,1600.0,1465.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1106,2019-09-23 17:13:00,2019-09-24 15:27:00.000000000,1334.0,OROVILLE,2.0,166.0,135.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1106,2019-09-23 17:13:00,2019-09-24 15:27:00.000000000,1334.0,OROVILLE,2.0,166.0,135.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1106,2019-09-25 03:03:00,2019-09-25 16:19:00.000000000,796.0,OROVILLE,2.0,166.0,135.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1106,2019-09-25 03:03:00,2019-09-25 16:19:00.000000000,796.0,OROVILLE,2.0,166.0,135.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1107,2019-09-23 17:12:00,2019-09-24 13:04:00.000000000,1192.0,OROVILLE,2.0,1911.0,1782.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1107,2019-09-23 17:12:00,2019-09-24 13:04:00.000000000,1192.0,OROVILLE,2.0,1911.0,1782.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1107,2019-09-25 03:15:00,2019-09-25 18:21:00.000000000,906.0,OROVILLE,3.0,1911.0,1782.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1107,2019-09-25 03:15:00,2019-09-25 18:21:00.000000000,906.0,OROVILLE,3.0,1911.0,1782.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1109,2019-09-23 17:16:00,2019-09-24 23:52:00.000000000,1836.0,"OROVILLE, PALERMO",2.0,2287.0,2044.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1109,2019-09-23 17:16:00,2019-09-24 23:52:00.000000000,1836.0,"OROVILLE, PALERMO",2.0,2286.0,2043.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1109,2019-09-25 02:54:00,2019-09-25 19:19:00.000000000,985.0,"OROVILLE, PALERMO",2.0,2287.0,2044.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1109,2019-09-25 02:54:00,2019-09-25 19:19:00.000000000,985.0,"OROVILLE, PALERMO",2.0,2286.0,2043.0,95966,-121.540946685493,39.4917002562126,True,29444.0
BRUNSWICK1102,2019-09-25 02:49:00,2019-09-25 15:35:00.000000000,766.0,"GRASS VALLEY, NEVADA CITY",3.0,1379.0,798.0,95945,-121.035026081788,39.2310500193179,True,26281.0
BRUNSWICK1106,2019-09-25 02:51:00,2019-09-25 18:06:00.000000000,915.0,GRASS VALLEY,3.0,4475.0,4254.0,95945,-121.035026081788,39.2310500193179,True,26281.0
BUCKS CREEK1101,2019-09-25 02:52:00,2019-09-25 17:23:00.000000000,871.0,STORRIE,3.0,3.0,0.0,95984,-121.283901163118,39.9864072907691,True,303.0
BUTTE1105,2019-09-25 02:56:00,2019-09-25 16:45:00.000000000,829.0,CHICO,3.0,228.0,207.0,95928,-121.813357076893,39.7122064481817,True,38655.0
CALISTOGA1101,2019-09-25 04:10:00,2019-09-25 17:00:00.000000000,770.0,CALISTOGA,3.0,1077.0,812.0,94515,-122.578610444001,38.592088042243,True,7525.0
CLARK ROAD1101,2019-09-25 03:04:00,2019-09-25 15:20:00.000000000,736.0,OROVILLE,2.0,14.0,0.0,95965,-121.635508221299,39.6545213308009,True,20681.0
FORESTHILL1101,2019-09-25 02:59:00,2019-09-25 14:23:00.000000000,684.0,FORESTHILL,3.0,2210.0,2061.0,95631,-120.830245241687,39.0193016687429,True,6604.0
FORESTHILL1102,2019-09-25 02:59:00,2019-09-25 15:41:00.000000000,762.0,FORESTHILL,3.0,421.0,399.0,95631,-120.830245241687,39.0193016687429,True,6604.0
FULTON1107,2019-09-25 04:12:00,2019-09-25 14:39:00.000000000,627.0,SANTA ROSA,3.0,168.0,113.0,95403,-122.760668946971,38.4978184237796,True,44716.0
NOTRE DAME1104,2019-09-25 02:53:00,2019-09-25 16:47:00.000000000,834.0,"FOREST RANCH, CHICO",3.0,217.0,185.0,95928,-121.796365024541,39.73015382806,True,38655.0
ORO FINO1101,2019-09-25 02:54:00,2019-09-26 11:01:00.000000000,1927.0,MAGALIA,3.0,2277.0,2205.0,95954,-121.610785061424,39.8715625311378,True,12221.0
ORO FINO1102,2019-09-25 02:54:00,2019-09-26 10:38:00.000000000,1904.0,"FOREST RANCH, MAGALIA, BUTTE MEADOWS, STIRLING CITY",3.0,1952.0,1817.0,95954,-121.610785061424,39.8715625311378,True,12221.0
OROVILLE0402,2019-09-25 03:09:00,2019-09-25 16:42:00.000000000,813.0,OROVILLE,0.0,359.0,204.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE0403,2019-09-25 03:09:00,2019-09-25 16:38:00.000000000,809.0,OROVILLE,0.0,243.0,209.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1101,2019-09-25 03:09:00,2019-09-25 15:39:00.000000000,750.0,OROVILLE,0.0,2464.0,2114.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1102,2019-09-25 03:09:00,2019-09-25 15:47:00.000000000,758.0,OROVILLE,0.0,652.0,429.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1103,2019-09-25 03:09:00,2019-09-25 15:56:00.000000000,767.0,OROVILLE,0.0,515.0,474.0,95965,-121.560155017326,39.503997949522,True,20681.0
OROVILLE1104,2019-09-25 03:09:00,2019-09-25 16:02:00.000000000,773.0,OROVILLE,0.0,1265.0,1145.0,95965,-121.560155017326,39.503997949522,True,20681.0
PARADISE1103,2019-09-25 02:46:00,2019-09-25 17:09:00.000000000,863.0,PARADISE,3.0,805.0,574.0,95969,-121.61873043547,39.7606629529058,True,19112.0
PARADISE1105,2019-09-25 02:50:00,2019-09-25 20:32:00.000000000,1062.0,"MAGALIA, PARADISE",3.0,1016.0,794.0,95969,-121.61873043547,39.7606629529058,True,19112.0
RINCON1103,2019-09-25 04:09:00,2019-09-25 15:16:00.000000000,667.0,SANTA ROSA,3.0,147.0,127.0,92082,-116.958652781094,33.2858527747877,True,19636.0
WYANDOTTE1105,2019-09-25 03:06:00,2019-09-25 15:26:00.000000000,740.0,OROVILLE,3.0,331.0,320.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1105,2019-09-25 03:06:00,2019-09-25 15:26:00.000000000,740.0,OROVILLE,3.0,331.0,320.0,95966,-121.540946685493,39.4917002562126,True,29444.0
WYANDOTTE1110,2019-09-24 11:43:00,2019-09-25 05:42:43.636363520,1080.0,"OROVILLE, OROVILLE, OROVILLE, OROVILLE, OROVILLE, BERRY CREEK, OROVILLE, BERRY CREEK, OROVILLE, BERRY CREEK, OROVILLE, BERRY CREEK, OROVILLE, OROVILLE, OROVILLE, OROVILLE, OROVILLE, OROVILLE, OROVILLE, OROVILLE, OROVILLE, PALERMO, OROVILLE, PALERMO, OROVILLE, PALERMO, OROVILLE, PALERMO, OROVILLE, OROVILLE",0.0,1638.0,1582.0,95966,-121.540946685493,39.4917002562126,True,29444.0
