Circuit Name,Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
"CLARKSVILL
E 2103",352,316,34,17,2
"CLARKSVILL
E 2104",4472,4278,192,207,2
"CLARKSVILL
E 2105",917,887,29,57,1
"CLARKSVILL
E 2109",431,414,16,20,1
CLAY 1101,1671,1463,178,94,30
CLAY 1103,1038,941,91,55,6
"CLAYTON
2212",589,491,95,28,3
"CLAYTON
2213",4,0,4,0,0
"CLAYTON
2215",3714,3508,203,178,3
"CLEAR LAKE
1101",2310,1734,358,91,218
"CLEAR LAKE
1102",1730,1165,530,68,35
"CLIFF DRIVE
0401",1936,1822,113,77,1
"CLOVERDALE
1101",2572,2246,311,105,15
"CLOVERDALE
1102",2527,2161,277,93,89
"COARSEGOL
D SUB 2102",1303,1228,74,72,1
"COARSEGOL
D SUB 2103",1984,1781,186,192,17
"COARSEGOL
D SUB 2104",4224,3902,308,338,14
"COAST RD.
0401",10,2,5,0,3
"COLUMBIA
HILL 1101",976,845,118,35,13
"CORNING
1101",881,795,73,83,13
"CORNING
1102",294,230,54,12,10
CORONA 1103,60,55,5,1,0
CORRAL 1101,2005,1596,221,104,188
CORRAL 1102,2202,2061,132,146,9
CORRAL 1103,2063,1993,61,160,9
CORTINA 1101,8,4,4,1,0
COTATI 1102,5517,5115,371,166,31
COTATI 1103,1434,1162,199,32,73
COTATI 1104,1999,1695,290,34,14
COTATI 1105,3000,2528,343,97,129
"COTTONWOO
D 1101",868,805,45,51,18
"COTTONWOO
D 1102",949,885,50,72,14
"COTTONWOO
D 1103",2704,2468,195,188,41
COVELO 1101,1286,1044,217,40,25
CURTIS 1701,1793,1206,579,88,8
CURTIS 1702,4327,3827,487,310,13
CURTIS 1703,3756,3198,532,157,26
CURTIS 1704,2548,2242,292,192,14
CURTIS 1705,2752,2298,448,197,6
"DAIRYVILLE
1101",670,499,91,31,80
"DESCHUTES
1101",1162,1073,69,61,20
"DESCHUTES
1104",2362,2081,255,128,26
"DIAMOND
SPRINGS 1103",1995,1786,208,111,1
"DIAMOND
SPRINGS 1104",586,526,60,43,0
"DIAMOND
SPRINGS 1105",2459,2158,297,140,4
"DIAMOND
SPRINGS 1106",2336,2237,97,139,2
"DIAMOND
SPRINGS 1107",1294,1230,64,64,0
DOBBINS 1101,845,729,100,47,16
DRUM 1101,191,144,41,1,6
DUNBAR 1101,3213,2901,254,143,58
DUNBAR 1102,2390,2138,210,66,42
DUNBAR 1103,2339,2089,198,52,52
"EDENVALE
1102",938,918,20,29,0
"EDENVALE
1103",99,98,1,4,0
"EDENVALE
2107",22,7,12,0,3
EDES 1112,2852,2732,105,114,15
"EEL RIVER
1102",1528,1076,250,52,202
"EEL RIVER
1103",1414,1037,255,43,122
"EIGHT MILE
2104",82,80,2,10,0
"EL DORADO
P H 2101",4539,4272,259,201,8
"EL DORADO
P H 2102",1593,1456,136,72,1
ELECTRA 1101,1879,1706,162,102,11
"ELECTRA
1102",642,464,172,25,6
ELK 1101,1470,1264,195,36,11
"EMERALD
LAKE 0401",842,787,49,19,6
"EMERALD
LAKE 0402",826,799,27,19,0
"ESTUDILLO
0401",154,102,50,4,2
"FAIRHAVEN
1103",482,358,122,14,2
"FAIRHAVEN
1104",93,75,16,1,2
"FAIRMONT
0401",289,277,12,7,0
"FAIRVIEW
2207",3006,2781,215,93,10
FELTON 0401,46,38,8,2,0
"FITCH
MOUNTAIN
1111",582,418,108,14,56
"FITCH
MOUNTAIN
1113",2314,1792,319,50,203
FLINT 1101,274,259,13,10,2
"FLORENCE
0401",486,471,14,10,1
"FORESTHILL
1101",2212,2062,149,141,1
"FORESTHILL
1102",421,399,22,13,0
"FORT BRAGG
STA A 1101",2609,2072,527,72,10
"FORT BRAGG
STA A 1102",2306,2049,232,107,25
"FORT BRAGG
STA A 1103",736,487,247,37,2
"FORT BRAGG
STA A 1104",2580,2435,142,106,3
"FORT ROSS
1121",620,490,116,10,14
"FORT
SEWARD 1121",212,174,35,6,3
"FORT
SEWARD 1122",91,73,16,1,2
"FRANKLIN
1101",20,8,12,1,0
"FRANKLIN
1102",2,0,2,0,0
"FRANKLIN
1104",102,47,46,0,9
"FREMONT
1104",23,21,0,0,2
"FRENCH
GULCH 1101",230,198,32,11,0
"FRENCH
GULCH 1102",35,9,25,0,1
"FROGTOWN
1701",1916,1560,326,90,30
"FROGTOWN
1702",4015,3203,761,207,51
"FRUITLAND
1141",353,258,73,6,22
"FRUITLAND
1142",718,615,99,14,4
FULTON 1102,578,371,181,11,26
FULTON 1104,5,1,4,0,0
FULTON 1107,848,567,275,27,6
GABILAN 1101,50,33,7,0,10
"GARBERVILL
E 1101",1188,899,216,22,73
"GARBERVILL
E 1102",1708,1302,369,23,37
"GARBERVILL
E 1103",459,284,173,5,2
GARCIA 0401,9,5,4,0,0
GERBER 1101,929,777,105,51,47
GERBER 1102,804,567,121,33,116
"GEYSERVILL
E 1101",1446,946,302,25,198
"GEYSERVILL
E 1102",396,222,104,8,70
GIRVAN 1101,1264,1128,131,72,5
GIRVAN 1102,1045,787,252,43,6
GLENN 1101,47,30,13,2,4
"GONZALES
1101",1818,1645,115,44,58
"GONZALES
1102",57,14,43,0,0
"GONZALES
1103",493,402,76,7,15
"GONZALES
1104",563,341,118,7,104
"GRASS
VALLEY 1101",726,475,246,24,5
"GRASS
VALLEY 1103",1448,1278,161,69,9
"GREEN
VALLEY 2101",701,554,97,19,50
"GREENBRAE
1101",923,577,345,13,1
"GREENBRAE
1102",3571,3199,367,44,5
"GREENBRAE
1103",2889,2608,280,35,1
"GREENBRAE
1104",2508,2218,286,49,4
GUALALA 1111,2446,2318,128,40,0
"GUALALA
1112",1266,1021,243,25,2
"HALF MOON
BAY 1101",2558,2045,459,39,54
"HALF MOON
BAY 1102",4859,4507,334,104,18
"HALF MOON
BAY 1103",4866,3995,750,79,121
HALSEY 1101,2259,2105,152,92,2
HALSEY 1102,2058,1699,331,87,28
HARRIS 1108,4937,4592,345,181,0
HARRIS 1109,3832,3285,543,124,4
"HARTLEY
1101",2882,2432,409,149,41
"HARTLEY
1102",1434,1315,111,101,8
HICKS 1116,1198,1158,40,35,0
HICKS 2101,4856,4673,176,147,7
HICKS 2103,67,59,8,2,0
HIGGINS 1103,1935,1794,139,110,2
HIGGINS 1104,2699,2638,60,148,1
HIGGINS 1107,1678,1582,96,88,0
HIGGINS 1109,1616,1408,185,82,23
HIGGINS 1110,1358,1312,46,62,0
"HIGHLANDS
1102",3395,3019,363,254,13
"HIGHLANDS
1103",2418,2111,273,139,34
"HIGHLANDS
1104",2714,2491,218,210,5
"HIGHWAY
1101",4253,4087,160,197,6
"HIGHWAY
1102",1576,1084,482,36,10
"HIGHWAY
1103",1247,1046,196,54,5
"HIGHWAY
1104",3553,3409,144,180,0
"HIGHWAY
1105",555,508,47,20,0
"HIGHWAY
1106",3594,3301,283,185,10
"HOLLISTER
2102",174,85,75,3,14
"HOLLISTER
2104",152,103,35,4,14
"HOLLISTER
2105",257,140,85,3,32
"HOLLISTER
2106",41,13,26,0,2
"HOLLYWOOD
0401",950,922,28,13,0
HOOPA 1101,1762,1405,348,52,9
"HOPLAND
1101",1246,894,269,38,83
"HORSESHOE
1101",549,525,23,22,1
"HORSESHOE
1104",310,295,15,18,0
"HUM BAY
BANK NO. 11
1101",1008,887,121,44,0
"HUM BAY
BANK NO. 11
1102",3030,2795,208,121,27
IGNACIO 1101,2809,2656,148,68,5
IGNACIO 1102,1783,702,1080,31,1
IGNACIO 1103,1821,1652,165,38,4
IGNACIO 1104,1553,1265,245,22,43
IGNACIO 1105,4389,4138,238,122,13
"INDIAN FLAT
1104",579,471,108,6,0
"JAMESON
1102",2240,2097,134,96,9
"JAMESON
1103",1287,1210,61,46,16
"JAMESON
1105",2521,1943,469,53,109
"JANES
CREEK 1101",2177,2001,168,81,8
"JANES
CREEK 1102",991,874,110,14,7
"JANES
CREEK 1103",3595,3085,501,138,9
"JANES
CREEK 1104",140,29,111,2,0
JARVIS 1101,11,10,1,3,0
JARVIS 1108,433,421,12,7,0
JARVIS 1111,530,495,32,24,3
JESSUP 1101,1946,1764,179,139,3
JESSUP 1102,2236,1947,286,154,3
JESSUP 1103,1561,1410,142,96,9
KANAKA 1101,604,547,50,33,7
"KERCKHOFF
1101",259,224,34,17,1
"KERN OIL
1106",12,1,11,0,0
"KESWICK
1101",451,343,105,12,3
"KIRKER SUB
2104",12,5,7,0,0
"KONOCTI
1102",2702,2341,286,107,75
"KONOCTI
1108",1973,1871,99,119,3
"LAKEVILLE
1102",175,115,29,4,31
"LAKEWOOD
1102",4,4,0,0,0
"LAKEWOOD
2107",705,683,22,20,0
"LAKEWOOD
2109",139,126,13,11,0
"LAKEWOOD
2224",19,19,0,0,0
LAMONT 1102,5,0,5,0,0
"LAS AROMAS
0401",424,413,11,11,0
"LAS
GALLINAS A
1103",1829,1328,500,28,1
"LAS
GALLINAS A
1104",2005,1856,148,59,1
"LAS
GALLINAS A
1105",2810,2611,195,80,4
"LAS
GALLINAS A
1106",4348,4046,292,88,10
"LAS
GALLINAS A
1107",2377,1955,413,33,9
"LAS POSITAS
2108",49,15,30,2,4
"LAS PULGAS
0401",138,131,7,0,0
"LAYTONVILL
E 1101",707,543,148,28,16
"LAYTONVILL
E 1102",901,730,156,34,15
LINCOLN 1101,585,500,54,28,31
"LINCOLN
1104",672,586,56,30,30
LLAGAS 2101,473,331,60,16,82
LLAGAS 2104,12,7,4,0,1
LLAGAS 2105,8,5,3,0,0
LLAGAS 2106,21,13,2,2,6
LLAGAS 2107,396,332,49,24,15
"LOGAN
CREEK 2102",9,4,3,0,2
"LONE TREE
2105",75,59,11,1,5
"LOS GATOS
1101",1235,1191,44,32,0
"LOS GATOS
1102",254,223,31,6,0
"LOS GATOS
1106",1576,1383,184,48,9
"LOS GATOS
1107",2146,1932,209,50,5
"LOS GATOS
1108",769,648,121,11,0
"LOS
MOLINOS
1101",970,817,88,61,65
"LOS
MOLINOS
1102",1112,905,156,81,51
"LOW GAP
1101",692,581,109,18,2
LOYOLA 1102,26,25,1,0,0
"LUCERNE
1103",2111,1891,206,149,14
"LUCERNE
1106",3053,2838,209,197,6
"MADISON
2101",1944,1409,309,70,226
"MAPLE
CREEK 1101",139,95,34,3,11
"MARTELL
1101",2236,1900,328,101,8
"MARTELL
1102",1218,976,241,63,1
"MARTELL
1103",1138,752,372,44,14
"MAXWELL
1105",43,28,9,1,6
MC KEE 1103,77,71,6,1,0
MC KEE 1108,26,25,1,1,0
MC KEE 1111,140,132,8,4,0
"MEADOW
LANE 2106",12,3,9,0,0
"MENDOCINO
1101",1788,1586,176,74,26
MENLO 1102,496,446,47,5,3
MENLO 1103,304,235,66,8,3
"MIDDLETOW
N 1101",1917,1602,292,66,23
"MIDDLETOW
N 1102",2296,2078,205,114,13
"MIDDLETOW
N 1103",145,97,36,3,12
"MILPITAS
1105",3,2,1,0,0
"MILPITAS
1108",3,3,0,0,0
"MILPITAS
1109",310,234,68,9,8
"MIRABEL
1101",1514,1290,198,46,26
"MIRABEL
1102",2384,2172,171,66,41
"MIWUK SUB
1701",3651,3398,248,102,5
"MIWUK SUB
1702",3776,3515,258,170,3
MOLINO 1101,5050,4534,441,162,75
MOLINO 1102,3964,3386,456,141,122
MOLINO 1103,3391,3005,296,134,90
MOLINO 1104,4043,3190,810,134,43
"MONROE
2103",10,1,6,0,3
"MONROE
2107",106,102,4,4,0
"MONTE RIO
1111",1713,1523,187,50,3
"MONTE RIO
1112",1124,1029,95,30,0
"MONTE RIO
1113",3823,3439,378,126,6
"MONTICELLO
1101",1324,1088,189,51,47
MORAGA 1101,1191,1024,161,28,6
"MORAGA
1102",842,597,243,21,2
"MORAGA
1103",2890,2762,128,75,0
"MORAGA
1104",1762,1624,134,51,4
MORAGA 1105,901,863,38,24,0
"MORGAN
HILL 2104",380,363,15,10,2
"MORGAN
HILL 2105",3889,3605,244,159,40
"MORGAN
HILL 2109",138,132,6,5,0
"MORGAN
HILL 2110",307,286,21,15,0
"MORGAN
HILL 2111",1136,938,136,41,62
"MOUNTAIN
QUARRIES
2101",3498,3190,290,170,18
NAPA 1102,14,7,6,0,1
NAPA 1112,659,572,57,27,30
"NARROWS
2101",504,455,42,25,7
"NARROWS
2102",3387,3238,135,165,14
"NARROWS
2105",3901,3494,385,173,22
"NEWBURG
1131",2585,2314,241,121,30
"NEWBURG
1132",3338,2763,555,128,20
"NEWBURG
1133",500,458,39,21,3
"NORTH
BRANCH 1101",1248,972,263,67,13
"NORTH
DUBLIN 2101",4758,4329,429,44,0
"NORTH
DUBLIN 2103",4682,4303,359,86,20
"NOTRE
DAME 1104",217,185,29,5,3
NOVATO 1102,464,408,55,16,1
NOVATO 1103,868,533,333,14,2
NOVATO 1104,2368,2027,338,58,3
OAK 0401,1009,986,23,15,0
"OAKHURST
1101",1986,1686,294,146,6
"OAKHURST
1102",1037,744,291,65,2
"OAKHURST
1103",3819,3117,695,161,7
OLEMA 1101,2058,1661,355,35,42
OLETA 1101,1631,1306,295,54,30
OLETA 1102,1058,783,177,35,98
"OREGON
TRAIL 1102",852,783,67,58,2
"OREGON
TRAIL 1103",1708,1602,96,89,10
"OREGON
TRAIL 1104",960,850,106,47,4
ORICK 1101,84,59,13,2,12
ORICK 1102,247,168,72,7,7
ORINDA 0401,317,303,14,8,0
ORINDA 0402,422,407,15,13,0
"ORO FINO
1101",2280,2207,71,224,2
"ORO FINO
1102",1950,1815,123,104,12
"PACIFICA
1101",1917,1867,50,43,0
"PACIFICA
1102",3924,3488,421,84,15
"PACIFICA
1103",2808,2731,74,107,3
"PACIFICA
1104",1269,1158,109,23,2
"PALO SECO
0401",598,586,12,6,0
"PANORAMA
1101",794,779,14,69,1
"PANORAMA
1102",214,162,34,15,18
"PARADISE
1103",859,615,243,36,1
"PARADISE
1104",830,684,146,54,0
"PARADISE
1105",1030,805,224,54,1
"PARADISE
1106",292,232,60,9,0
"PAUL SWEET
2102",1644,1555,76,42,13
"PAUL SWEET
2104",716,687,27,56,2
"PAUL SWEET
2105",4264,3579,678,131,7
"PAUL SWEET
2106",3152,2741,383,136,28
"PAUL SWEET
2107",188,92,68,6,28
"PAUL SWEET
2109",302,295,7,15,0
"PEABODY
2106",3,0,2,0,1
"PEABODY
2108",5,5,0,2,0
"PEABODY
2113",10,1,9,0,0
"PENNGROVE
1101",396,343,39,14,14
PENRYN 1103,1461,1378,69,61,14
PENRYN 1105,1361,1208,125,41,28
PENRYN 1106,4,4,0,0,0
PENRYN 1107,2766,2570,178,124,18
"PEORIA FLAT
1701",1862,1664,174,64,24
"PEORIA FLAT
1704",3008,2719,258,151,31
"PEORIA FLAT
1705",2461,2113,338,189,10
"PETALUMA A
0411",656,585,71,9,0
"PETALUMA A
0413",575,446,129,9,0
"PETALUMA C
1108",1967,1636,208,63,123
"PETALUMA C
1109",2897,2604,253,69,40
PHILO 1101,1136,880,210,21,46
PHILO 1102,1003,760,185,14,58
PIERCY 2110,372,353,12,3,7
"PIKE CITY
1101",391,345,44,17,2
"PIKE CITY
1102",24,15,8,1,1
"PINE GROVE
1101",1334,1180,144,68,10
"PINE GROVE
1102",4238,3813,409,248,16
"PINECREST
0401",206,177,29,0,0
PIT NO.5 1101,112,80,30,2,2
PIT NO.7 1101,2,1,1,0,0
PLACER 1101,325,303,21,10,1
PLACER 1102,38,35,3,4,0
PLACER 1103,2007,1774,227,88,6
"PLACERVILL
E 1109",571,421,148,24,2
"PLACERVILL
E 1110",1573,1308,263,68,2
"PLACERVILL
E 1111",1064,788,266,47,10
"PLACERVILL
E 1112",2055,1689,363,78,3
"PLACERVILL
E 2106",5109,4725,363,248,21
"PLAINFIELD
1101",102,73,17,2,12
"POINT
ARENA 1101",867,681,165,27,21
"POINT
MORETTI
1101",1073,945,117,51,11
"POSO
MOUNTAIN
2103",22,10,9,0,3
"POSO
MOUNTAIN
2104",6,1,5,0,0
"POTTER
VALLEY P H
1104",296,234,37,10,25
"POTTER
VALLEY P H
1105",780,641,100,30,39
"PRUNEDALE
1110",327,268,51,16,8
PUEBLO 1104,604,491,95,9,18
PUEBLO 1105,478,321,94,13,63
PUEBLO 2102,359,227,77,4,55
PUEBLO 2103,651,509,75,20,67
"PUTAH
CREEK 1102",911,741,121,38,49
"PUTAH
CREEK 1103",1993,1755,166,87,72
"PUTAH
CREEK 1105",876,592,175,24,109
"RACETRACK
SUB 1703",3419,2891,520,210,8
"RACETRACK
SUB 1704",664,621,37,42,6
RADUM 1105,243,208,33,7,2
"RALSTON
1101",2508,2247,226,41,35
"RALSTON
1102",2260,2161,91,46,8
RAWSON 1103,2485,2003,439,128,43
"RED BLUFF
1101",746,708,28,59,10
"RED BLUFF
1103",212,198,13,14,1
"RED BLUFF
1104",911,787,98,55,26
"RED BLUFF
1105",934,872,48,62,14
REDBUD 1101,1956,1782,143,119,31
REDBUD 1102,3183,3001,162,214,20
"RESEARCH
SUB 2102",322,309,13,14,0
RIDGE 0401,403,397,6,4,0
RIDGE 0402,773,755,18,4,0
RINCON 1101,3666,3444,207,169,15
RINCON 1102,4577,4354,221,147,2
RINCON 1103,2017,1916,86,79,15
RINCON 1104,4014,3735,275,152,4
"RIO DEL MAR
0401",1027,981,45,34,1
"RIO DELL
1101",1017,893,102,40,22
"RIO DELL
1102",1327,1095,197,41,35
"ROB ROY
2104",3549,3190,274,186,85
"ROB ROY
2105",7017,6353,635,287,29
"ROSSMOOR
1101",1070,1012,50,48,8
"ROSSMOOR
1102",547,541,6,40,0
"ROSSMOOR
1104",13,13,0,0,0
"ROSSMOOR
1106",2805,2567,238,74,0
"ROSSMOOR
1107",78,77,1,4,0
"ROSSMOOR
1108",2869,2753,116,84,0
"RUSS RANCH
1101",2,2,0,0,0
"SALMON
CREEK 1101",1732,1487,217,29,28
"SALT
SPRINGS 2101",387,331,55,0,1
"SALT
SPRINGS
2102",1989,1910,76,13,3
"SAN BENITO
SUB 2104",1259,1115,109,59,35
"SAN CARLOS
1103",585,544,41,16,0
"SAN CARLOS
1104",3009,2947,62,60,0
"SAN
JOAQUIN PH
NO 2 1103",989,846,135,54,8
"SAN
JOAQUIN PH
NO 3 1101",689,584,105,15,0
"SAN
JOAQUIN PH
NO 3 1102",257,248,9,9,0
"SAN JPAQUIN
PH NO 3 1103",865,758,104,45,3
"SAN JUSTO
1101",339,288,39,10,12
"SAN
LEANDRO
1109",1411,1334,75,76,2
"SAN
LEANDRO
1114",2079,2026,50,57,3
"SAN RAFAEL
1101",3949,3283,664,55,2
"SAN RAFAEL
1102",3742,3132,600,20,10
"SAN RAFAEL
1103",773,48,719,0,6
"SAN RAFAEL
1104",4304,3905,398,67,1
"SAN RAFAEL
1105",3077,2678,398,59,1
"SAN RAFAEL
1106",4529,4136,385,75,8
"SAN RAFAEL
1107",4528,4222,306,78,0
"SAN RAFAEL
1108",5784,5115,669,74,0
"SAN RAFAEL
1109",3328,3042,284,93,2
"SAN RAFAEL
1110",328,67,261,0,0
"SAN RAMON
2107",1240,1155,83,21,2
"SAN RAMON
2108",1060,972,88,34,0
"SANTA ROSA
A 1103",935,879,56,14,0
"SANTA ROSA
A 1104",2310,2016,286,78,8
"SANTA ROSA
A 1107",238,208,29,4,1
"SANTA ROSA
A 1108",13,11,2,0,0
"SANTA ROSA
A 1111",201,172,21,5,8
"SARATOGA
1103",729,704,25,8,0
"SARATOGA
1104",378,365,13,10,0
"SARATOGA
1105",528,492,33,16,3
"SARATOGA
1106",1083,1011,64,29,8
"SARATOGA
1107",1232,1132,99,24,1
"SARATOGA
1115",132,118,14,2,0
"SAUSALITO
0401",625,514,111,5,0
"SAUSALITO
0402",523,516,7,4,0
"SAUSALITO
1101",2548,1870,678,11,0
"SAUSALITO
1102",3639,3204,420,53,15
"SEACLIFF
0401",365,337,28,21,0
"SEACLIFF
0402",162,162,0,11,0
"SHADY GLEN
1101",1834,1530,299,67,5
"SHADY GLEN
1102",736,663,71,42,2
"SHINGLE
SPRINGS 1103",1107,710,395,39,2
"SHINGLE
SPRINGS 1104",1294,1104,188,79,2
"SHINGLE
SPRINGS 2105",3949,3622,326,222,1
"SHINGLE
SPRINGS
2108",2845,2599,245,145,1
"SHINGLE
SPRINGS
2109",3498,3164,320,172,14
"SHINGLE
SPRINGS 2110",1251,1061,186,62,4
"SILVERADO
2102",885,475,225,3,185
"SILVERADO
2103",388,247,75,0,66
"SILVERADO
2104",2369,1991,237,63,141
"SILVERADO
2105",1041,814,156,12,71
"SMARTVILLE
1101",255,221,29,17,5
"SNEATH
LANE 1101",1777,1732,44,24,1
"SNEATH
LANE 1102",3741,3599,140,137,2
"SNEATH
LANE 1106",4011,3861,128,66,22
"SNEATH
LANE 1107",2801,2732,69,60,0
"SOBRANTE
1101",1978,1597,368,52,13
"SOBRANTE
1102",1794,1689,99,50,6
"SOBRANTE
1103",546,495,51,17,0
"SOLEDAD
1114",2685,2424,243,60,18
"SOLEDAD
2101",563,400,94,13,70
"SOLEDAD
2102",2484,2005,281,66,198
SONOMA 1102,270,244,19,5,7
SONOMA 1103,314,282,19,5,13
SONOMA 1104,798,684,89,16,25
SONOMA 1105,368,304,31,12,33
SONOMA 1106,167,129,38,2,0
SONOMA 1107,124,65,32,1,27
SOQUEL 0402,1517,1396,121,53,0
"SPAULDING
1101",161,81,71,0,9
"SPRING GAP
1702",1477,1328,147,9,2
SPRUCE 0401,690,682,8,15,0
SPRUCE 0402,622,607,15,14,0
"STAFFORD
1101",4881,4567,313,156,1
"STAFFORD
1102",3959,3733,221,146,5
STAGG 2107,28,28,0,2,0
"STANISLAUS
1701",1778,1581,192,72,5
"STANISLAUS
1702",4894,4581,312,82,1
"STATION A
EUREKA 1103",2072,1775,288,57,9
"STATION A
EUREKA 1106",215,45,169,3,1
"STATION A
EUREKA 1107",860,261,594,4,5
"STATION E
EUREKA 1101",2109,1978,131,80,0
"STATION E
EUREKA 1104",3719,3417,297,146,5
"STATION E
EUREKA 1105",1613,1259,353,49,1
"STELLING
1109",59,55,4,4,0
"STELLING
1110",394,331,58,6,5
"STILLWATER
STATION 1101",695,593,96,42,6
"STILLWATER
STATION 1102",1374,1323,51,81,0
STOREY 1109,2,2,0,0,0
"SUBSTATION
D 1112",366,309,57,1,0
"SUBSTATION
F 0402",429,370,59,0,0
"SUBSTATION
F 1103",339,323,15,5,1
"SUBSTATION
F 1105",642,634,8,10,0
"SUBSTATION
G 1105",3834,3695,137,92,2
"SUBSTATION
G 1110",32,25,7,0,0
"SUBSTATION
G 1111",208,198,10,0,0
"SUBSTATION
G 1112",831,801,30,22,0
"SUBSTATION
J 1102",1489,1403,78,32,8
"SUBSTATION
J 1105",304,290,11,7,3
"SUBSTATION
J 1106",512,498,14,21,0
"SUBSTATION
K 1101",2059,1928,126,28,5
