Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT)
"BROWNS
VALLEY 1101","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:02,"BROWNS
VALLEY,
MARYSVILLE",10/30/2019 12:59
"BRUNSWICK
1102","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:43,"GRASS VALLEY,
NEVADA CITY",10/30/2019 17:06
"BRUNSWICK
1103","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:43,NEVADA CITY,10/30/2019 14:07
"BRUNSWICK
1104","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:43,"NEVADA CITY,
GRASS VALLEY",10/30/2019 16:29
"BRUNSWICK
1105","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:43,"NEVADA CITY,
GRASS VALLEY",10/31/2019 13:50
"BRUNSWICK
1106","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:47,GRASS VALLEY,10/30/2019 17:28
"BRUNSWICK
1107","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:47,GRASS VALLEY,10/30/2019 14:24
"BRUNSWICK
1110","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:47,"GRASS VALLEY,
NEVADA CITY",10/30/2019 16:50
BRYANT 0401,NON-HFTD,10/26/2019 22:02,ORINDA,10/29/2019 10:15
BRYANT 0402,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:02,ORINDA,10/29/2019 10:29
"BUCKS CREEK
1101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:04,STORRIE,10/31/2019 13:01
"BUCKS CREEK
1102","TIER 3, TIER 2",10/26/2019 17:06,"BELDEN,
STORRIE,
QUINCY",10/31/2019 10:20
"BUCKS CREEK
1103","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:03,QUINCY,10/30/2019 17:43
BURNS 2101,TIER 3,10/26/2019 20:34,SANTA CRUZ,10/29/2019 17:21
BUTTE 1105*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:09,CHICO,10/30/2019 13:17
"CALAVERAS
CEMENT 1101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:15,"SAN ANDREAS,
MOKELUMNE
HILL,
MOUNTAIN
RANCH, ANGELS
CAMP, RAIL
ROAD FLAT,
SHEEP RANCH",10/30/2019 14:28
CALISTOGA 11011,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:53,CALISTOGA,11/8/19 15:10
CALISTOGA 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:53,CALISTOGA,10/30/2019 22:00
CALPELLA 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:44,"REDWOOD
VALLEY, UKIAH,
WILLITS",10/30/2019 15:53
CALPELLA 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:44,"UKIAH,
CALPELLA",10/30/2019 14:55
"CALWATER
1102*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/29/2019 21:02,BAKERSFIELD,10/31/2019 09:40
"CAMP EVERS
2103*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:42,"SANTA CRUZ,
SCOTTS VALLEY",10/29/2019 12:02
"CAMP EVERS
2104*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:14,"SCOTTS VALLEY,
SANTA CRUZ",10/29/2019 10:18
"CAMP EVERS
2105*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:37,"FELTON, BEN
LOMOND,
MOUNT
HERMON, LOS
GATOS, SCOTTS
VALLEY",10/29/2019 13:47
"CAMP EVERS
2106*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:39,"SCOTTS VALLEY,
SANTA CRUZ,
LOS GATOS,
FELTON,
SOQUEL,
REDWOOD
ESTATES,
MOUNT
HERMON",10/29/2019 18:00
CAMPHORA 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:16,"GONZALES,
SOLEDAD,
SALINAS",10/28/2019 14:43
CARLOTTA 1121,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:37,"HYDESVILLE,
CARLOTTA,
FORTUNA",10/28/2019 12:20
"CAROLANDS
0404*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:18,"HILLSBOROUGH
, SAN MATEO",10/28/2019 14:35
CARQUINEZ 1103,NON-HFTD,10/26/2019 20:25,VALLEJO,10/29/2019 15:47
CARQUINEZ 1104,NON-HFTD,10/26/2019 20:25,VALLEJO,10/29/2019 13:09
CARQUINEZ 1105,NON-HFTD,10/26/2019 20:25,VALLEJO,10/29/2019 13:09
"CASTRO VALLEY
1101*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:10,HAYWARD,10/28/2019 13:17
"CASTRO VALLEY
1104*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:29,CASTRO VALLEY,10/28/2019 13:10
"CASTRO VALLEY
1106*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:01,CASTRO VALLEY,10/28/2019 11:36
"CASTRO VALLEY
1108*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:48,CASTRO VALLEY,10/28/2019 15:54
"CASTRO VALLEY
1111*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:44,HAYWARD,10/28/2019 12:36
CAYETANO 2109*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:09,LIVERMORE,10/28/2019 16:42
CAYETANO 2111*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:18,LIVERMORE,10/28/2019 09:47
"CEDAR CREEK
1101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:22,"ROUND
MOUNTAIN,
MONTGOMERY
CREEK, BIG
BEND, OAK RUN,
BELLA VISTA",11/1/19 13:16
"CHALLENGE
1101","TIER 3, TIER 2",10/26/2019 18:30,"LA PORTE,
CLIPPER MILLS,
STRAWBERRY
VALLEY,
CHALLENGE",10/30/2019 15:27
"CHALLENGE
1102","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:30,"BROWNSVILLE,
CHALLENGE,
FORBESTOWN,
DOBBINS",10/30/2019 16:48
"CLARK ROAD
1101","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:52,OROVILLE,10/30/2019 10:18
"CLARK ROAD
1102","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:52,"OROVILLE,
PARADISE",10/30/2019 16:24
"CLARKSVILLE
2103*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:16,"SHINGLE
SPRINGS, EL
DORADO HILLS",10/28/2019 16:14
"CLARKSVILLE
2104","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:06,"EL DORADO
HILLS,
CAMERON
PARK, RESCUE",10/28/2019 17:20
"CLARKSVILLE
2105*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:04,"CAMERON
PARK, EL
DORADO HILLS,
SHINGLE
SPRINGS",10/28/2019 11:31
"CLARKSVILLE
2109*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:00,"EL DORADO
HILLS",10/28/2019 09:27
CLAY 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:05,IONE,10/29/2019 10:08
CLAY 1103*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:01,IONE,10/29/2019 15:15
CLAYTON 2212*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:45,"CLAYTON,
BRENTWOOD,
CONCORD",10/28/2019 18:37
CLAYTON 2213*,TIER 2,10/27/2019 00:47,PITTSBURG,10/29/2019 08:50
CLAYTON 2215*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:49,"WALNUT CREEK,
ALAMO",10/28/2019 16:30
"CLEAR LAKE
1101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:44,"KELSEYVILLE,
LAKEPORT,
FINLEY",10/30/2019 19:01
"CLEAR LAKE
1102","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:44,"LAKEPORT,
KELSEYVILLE",10/30/2019 18:10
"CLIFF DRIVE
0401*",NON-HFTD,10/26/2019 20:32,SANTA CRUZ,10/28/2019 15:44
"CLOVERDALE
1101","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:06,CLOVERDALE,10/30/2019 20:36
"CLOVERDALE
1102","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:06,"CLOVERDALE,
GEYSERVILLE",10/31/2019 20:03
"COARSEGOLD
SUB 2102","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 13:41,"OAKHURST,
NORTH FORK,
BASS LAKE,
COARSEGOLD",10/29/2019 17:00
"COARSEGOLD
SUB 2103","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 13:41,"COARSEGOLD, O
NEALS",10/29/2019 12:09
"COARSEGOLD
SUB 2104","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 13:41,"COARSEGOLD,
RAYMOND,
OAKHURST,
MADERA",10/29/2019 13:06
COAST RD. 0401*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:32,DAVENPORT,10/28/2019 19:51
"COLUMBIA HILL
1101","TIER 3, TIER 2",10/26/2019 18:24,"NEVADA CITY,
NORTH SAN
JUAN,
CAMPTONVILLE",10/31/2019 16:49
CORNING 1101*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:01,"CORNING,
FLOURNOY",10/30/2019 12:29
CORNING 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:00,"PASKENTA,
FLOURNOY, RED
BLUFF,
CORNING",10/29/2019 18:34
CORONA 1103*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:41,PENNGROVE,10/28/2019 17:50
CORRAL 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:25,"BURSON,
WALLACE,
LINDEN, VALLEY
SPRINGS,
STOCKTON,
IONE",10/28/2019 20:04
CORRAL 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:09,"VALLEY
SPRINGS,
BURSON,
LINDEN",10/28/2019 17:08
CORRAL 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:25,"VALLEY
SPRINGS,
LINDEN,
FARMINGTON",10/28/2019 19:26
CORTINA 1101*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:34,WILLIAMS,10/29/2019 09:25
COTATI 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:50,"ROHNERT PARK,
COTATI,
PETALUMA,
PENNGROVE",10/30/2019 17:25
COTATI 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:50,"PETALUMA,
DILLON BEACH,
TOMALES,
MARSHALL,
FALLON",10/31/2019 17:54
COTATI 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:50,COTATI,10/30/2019 16:16
COTATI 1105,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 19:50,"SEBASTOPOL,
PETALUMA,
VALLEY FORD,
COTATI,
FALLON,
BODEGA BAY,
BODEGA",10/31/2019 12:48
"COTTONWOOD
1101*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:03,"COTTONWOOD,
RED BLUFF",10/30/2019 15:35
"COTTONWOOD
1102*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:07,"COTTONWOOD,
ANDERSON, IGO",10/30/2019 14:49
"COTTONWOOD
1103*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:06,"COTTONWOOD,
RED BLUFF",10/29/2019 14:09
COVELO 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:44,"COVELO, DOS
RIOS",10/30/2019 17:32
CURTIS 1701,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:37,SONORA,10/28/2019 11:28
CURTIS 1702,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:34,"SONORA,
TUOLUMNE,
SOULSBYVILLE",10/30/2019 09:08
CURTIS 1703,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:05,"GROVELAND,
SONORA,
JAMESTOWN,
TUOLUMNE",10/29/2019 15:18
CURTIS 1704,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:08,"SONORA,
COLUMBIA",10/30/2019 09:10
CURTIS 1705,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/27/2019 00:33,"SONORA,
TUOLUMNE,
SOULSBYVILLE",10/28/2019 18:30
DAIRYVILLE 1101,NON-HFTD,10/26/2019 18:05,"RED BLUFF, LOS
MOLINOS",10/28/2019 13:45
DESCHUTES 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:58,"MILLVILLE, OAK
RUN, PALO
CEDRO,
SHINGLETOWN",10/31/2019 09:51
"DESCHUTES
1104","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:58,"PALO CEDRO,
REDDING,
ANDERSON,
MILLVILLE,
BELLA VISTA",10/30/2019 14:32
"DIAMOND
SPRINGS 1103*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:19,PLACERVILLE,10/30/2019 17:15
"DIAMOND
SPRINGS 1104*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:23,"EL DORADO,
DIAMOND
SPRINGS,
PLACERVILLE",10/28/2019 15:32
"DIAMOND
SPRINGS 1105","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:25,"EL DORADO,
PLACERVILLE,
SHINGLE
SPRINGS,
DIAMOND
SPRINGS",10/29/2019 13:10
"DIAMOND
SPRINGS 1106*","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:33,"PLACERVILLE,
DIAMOND
SPRINGS",10/30/2019 19:07
"DIAMOND
SPRINGS 1107*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:41,"PLACERVILLE,
SHINGLE
SPRINGS",10/28/2019 16:39
DOBBINS 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:30,"DOBBINS,
OREGON
HOUSE,
CAMPTONVILLE",10/30/2019 17:54
DRUM 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 18:56,"EMIGRANT GAP,
BAXTER, ALTA",10/31/2019 11:31
DUNBAR 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:04,"SANTA ROSA,
KENWOOD,
GLEN ELLEN",10/31/2019 16:53
DUNBAR 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:04,"GLEN ELLEN,
SONOMA, SANTA
ROSA",11/1/19 14:26
DUNBAR 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 21:04,"SONOMA, GLEN
ELLEN",10/31/2019 17:02
EDENVALE 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:33,SAN JOSE,10/28/2019 15:35
EDENVALE 1103,NON-HFTD,10/26/2019 20:33,SAN JOSE,10/28/2019 15:19
EDENVALE 2107*,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:11,MORGAN HILL,10/28/2019 15:50
EDES 1112*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:16,OAKLAND,10/28/2019 15:27
EEL RIVER 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:42,"LOLETA,
FERNDALE,
FORTUNA,
EUREKA,
FERNBRIDGE",10/28/2019 12:34
EEL RIVER 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 22:42,FERNDALE,10/28/2019 12:07
"EIGHT MILE
2104",NON-HFTD,10/26/2019 17:59,STOCKTON,10/30/2019 09:20
"EL DORADO P H
2101","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:08,"POLLOCK PINES,
GRIZZLY FLATS,
TWIN BRIDGES,
KYBURZ,
PLACERVILLE,
PACIFIC HOUSE,
SOMERSET",10/31/2019 10:24
"EL DORADO P H
2102",TIER 3,10/26/2019 20:08,POLLOCK PINES,10/30/2019 11:55
ELECTRA 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:41,"JACKSON, PINE
GROVE",10/31/2019 09:00
ELECTRA 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:41,"JACKSON,
MOKELUMNE
HILL",10/30/2019 16:18
ELK 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 17:44,"ALBION,
MANCHESTER,
ELK, LITTLE
RIVER",10/31/2019 00:53
"EMERALD LAKE
0401","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:08,"REDWOOD CITY,
WOODSIDE",10/29/2019 14:59
"EMERALD LAKE
0402","TIER 2,
PARTIALLY
OUTSIDE HFTD",10/26/2019 20:10,REDWOOD CITY,10/28/2019 18:28
