Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
PIKE CITY 1102,9/27/2020 18:31,9/28/2020 14:08,CAMPTONVILLE,Tier 3,24,15,8,1,1
PINE GROVE 1102*,9/27/2020 18:27,9/28/2020 13:17,"FIDDLETOWN, PINE
GROVE, PIONEER,
SUTTER CREEK,
VOLCANO","Tier 3,
Tier 2",3626,3324,289,281,13
PLACERVILLE 1109*,9/27/2020 18:12,9/28/2020 11:36,PLACERVILLE,"Partially
Outside
HFTD,
Tier 2",506,409,95,30,2
PLACERVILLE 1110*,9/27/2020 18:07,9/28/2020 11:57,PLACERVILLE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1197,1136,60,87,1
PLACERVILLE 1111*,9/27/2020 18:24,9/28/2020 11:24,PLACERVILLE,"Partially
Outside
HFTD,
Tier 2",1021,779,232,59,10
PLACERVILLE 1112,9/27/2020 18:22,9/28/2020 14:20,PLACERVILLE,"Partially
Outside
HFTD,
Tier 2",2059,1689,367,121,3
PLACERVILLE 2106,9/27/2020 18:07,9/28/2020 16:15,"COLOMA, GARDEN
VALLEY,
GEORGETOWN,
KELSEY,
PLACERVILLE","Tier 3,
Tier 2",5155,4766,363,346,26
SALT SPRINGS 2101,9/27/2020 18:22,9/28/2020 14:08,"ARNOLD, BEAR
VALLEY, PIONEER","Partially
Outside
HFTD,
Tier 2",384,330,53,5,1
SALT SPRINGS 2102,9/27/2020 18:22,9/28/2020 13:06,"ARNOLD, CAMP
CONNELL,
DORRINGTON","Tier 3,
Tier 2",1976,1899,74,32,3
SHADY GLEN 1102*,9/27/2020 18:51,9/28/2020 13:02,COLFAX,"Tier 3,
Tier 2",463,420,41,40,2
SPAULDING 1101*,9/27/2020 18:25,9/28/2020 14:21,EMIGRANT GAP,"Tier 3,
Tier 2",70,47,21,3,2
"SYCAMORE CREEK
1111*",9/27/2020 4:12,9/28/2020 16:54,"CHICO, COHASSET","Tier 3,
Tier 2",456,418,35,28,3
TIGER CREEK 0201,9/27/2020 18:50,9/28/2020 12:06,PIONEER,"Tier 3,
Tier 2",14,3,11,0,0
VOLTA 1101,9/27/2020 18:50,9/28/2020 16:03,"MANTON, MILL
CREEK, MINERAL,
PAYNES CREEK,
RED BLUFF,
SHINGLETOWN","Partially
Outside
HFTD,
Tier 3,
Tier 2",1291,1082,175,63,34
VOLTA 1102,9/27/2020 19:02,9/28/2020 12:45,SHINGLETOWN,"Partially
Outside
HFTD,
Tier 3,
Tier 2",2573,2388,174,225,11
WEST POINT 1101,9/27/2020 18:27,9/28/2020 13:07,"PIONEER,
VOLCANO","Tier 3,
Tier 2",1755,1692,59,123,4
WEST POINT 1102,9/27/2020 18:29,9/28/2020 15:50,"GLENCOE,
MOKELUMNE HILL,
MOUNTAIN
RANCH, RAIL
ROAD FLAT, WEST
POINT,
WILSEYVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",2815,2563,226,182,26
WYANDOTTE 1103*,9/27/2020 18:31,9/28/2020 12:51,OROVILLE,Tier 2,27,19,8,1,0
WYANDOTTE 1105*,9/27/2020 4:06,9/28/2020 13:30,OROVILLE,"Partially
Outside
HFTD",1,1,0,1,0
WYANDOTTE 1107*,9/27/2020 18:32,9/28/2020 17:19,OROVILLE,"Tier 3,
Tier 2",547,524,19,49,4
